epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,3264.02,0.63771,0.66239,0.43354,0.85649,0.85498,0.82622,0.88403,0.65032,0.78143,0.72439,0.75375,0.46665,0.76678,0.6845,0.51556,0.91912,0.00053225,0.00053225,0.00053225
31,3378.29,0.64206,0.65155,0.42701,0.86017,0.83227,0.82673,0.86507,0.63185,0.76894,0.78247,0.7788,0.48055,0.79394,0.70534,0.51085,0.93263,0.0005075,0.0005075,0.0005075
32,3466.28,0.628,0.63751,0.42816,0.85598,0.90068,0.80247,0.88911,0.66574,0.77501,0.7307,0.77452,0.48616,0.74973,0.66477,0.51528,0.9072,0.00048275,0.00048275,0.00048275
33,3597.67,0.64016,0.64804,0.42288,0.85517,0.85456,0.8288,0.87448,0.64469,0.81146,0.74513,0.78672,0.50195,0.80058,0.72227,0.52428,0.9288,0.000458,0.000458,0.000458
34,3721.02,0.62516,0.64278,0.41475,0.85228,0.87162,0.78071,0.85732,0.63218,0.79343,0.71668,0.76668,0.48051,0.79098,0.72426,0.52211,0.929,0.00043325,0.00043325,0.00043325
35,3806.24,0.61427,0.62472,0.40399,0.85183,0.86724,0.83359,0.89233,0.66252,0.78766,0.7532,0.77969,0.48994,0.76702,0.69535,0.51194,0.91059,0.0004085,0.0004085,0.0004085
36,3886.7,0.59623,0.61421,0.39959,0.84497,0.87835,0.82532,0.87201,0.64033,0.80709,0.78074,0.81017,0.51702,0.77857,0.66709,0.49629,0.93367,0.00038375,0.00038375,0.00038375
37,3998.52,0.59261,0.61375,0.38864,0.84029,0.86407,0.82753,0.88462,0.66849,0.78684,0.73652,0.77219,0.48183,0.74019,0.67747,0.48893,0.90937,0.000359,0.000359,0.000359
38,4106.51,0.59374,0.61199,0.39163,0.84234,0.84809,0.85679,0.88868,0.66333,0.791,0.75192,0.76668,0.49138,0.76616,0.73253,0.49679,0.90601,0.00033425,0.00033425,0.00033425
39,4192.27,0.58459,0.6065,0.38483,0.84164,0.84818,0.83841,0.88604,0.66022,0.76183,0.76289,0.77858,0.4864,0.7639,0.69273,0.51459,0.91607,0.0003095,0.0003095,0.0003095
40,4274.17,0.58223,0.59377,0.37463,0.84211,0.85288,0.82783,0.87773,0.6352,0.78745,0.78892,0.80174,0.51761,0.75786,0.67986,0.50468,0.91218,0.00028475,0.00028475,0.00028475
41,4425.76,0.60378,0.66861,0.38454,0.83054,0.84468,0.83782,0.87348,0.65509,0.77244,0.72642,0.75456,0.46169,0.76142,0.70583,0.56226,0.92354,0.00026,0.00026,0.00026
42,4635.14,0.59189,0.61188,0.38109,0.82928,0.84522,0.8303,0.88501,0.67105,0.78337,0.7111,0.75164,0.47193,0.73379,0.63141,0.48841,0.917,0.00023525,0.00023525,0.00023525
43,4720.09,0.57861,0.60045,0.36459,0.82487,0.84945,0.8453,0.88289,0.67207,0.73535,0.74085,0.75496,0.47889,0.73753,0.6599,0.48405,0.92305,0.0002105,0.0002105,0.0002105
44,4801.66,0.56816,0.58658,0.35356,0.82324,0.85452,0.84107,0.88793,0.6751,0.75129,0.73891,0.75238,0.48815,0.73016,0.66419,0.49636,0.91312,0.00018575,0.00018575,0.00018575
45,4896.09,0.55609,0.56121,0.34977,0.81714,0.86305,0.84635,0.88798,0.68011,0.75263,0.76951,0.77505,0.49942,0.7263,0.63456,0.47508,0.9159,0.000161,0.000161,0.000161
46,4986.65,0.55392,0.58808,0.34713,0.81447,0.84553,0.8626,0.89212,0.68139,0.72037,0.75242,0.75256,0.47945,0.71713,0.63647,0.46787,0.92047,0.00013625,0.00013625,0.00013625
47,5071.45,0.53851,0.55925,0.33563,0.81554,0.86232,0.85025,0.89543,0.68803,0.75525,0.75841,0.76692,0.49357,0.71321,0.64366,0.45944,0.91412,0.0001115,0.0001115,0.0001115
48,5151.66,0.5288,0.5482,0.32698,0.81165,0.86935,0.86018,0.90008,0.69355,0.75161,0.73314,0.75818,0.48914,0.70843,0.63589,0.46625,0.91733,8.675e-05,8.675e-05,8.675e-05
49,5320.93,0.51318,0.53994,0.32255,0.81363,0.88279,0.84322,0.90009,0.69681,0.76359,0.74656,0.77071,0.49916,0.70565,0.62735,0.45364,0.91441,6.2e-05,6.2e-05,6.2e-05
50,5502.06,0.50978,0.5356,0.32138,0.80874,0.8692,0.85702,0.89993,0.70164,0.76437,0.76368,0.76677,0.50384,0.69615,0.62539,0.44326,0.91146,3.725e-05,3.725e-05,3.725e-05
